week,n,Evenness difference from week 1,test-statistic,p-value,q-value
2.0,29,-0.014330635750744225,420.5,0.496896611801727,0.5547655140658942
3.0,30,0.03587066459552585,315.0,0.03500435429755106,0.3479149485444708
4.0,30,0.0078149740147688,347.0,0.09230867366680234,0.5361603480653012
5.0,30,0.06246993122144535,359.0,0.1261609149438983,0.5547655140658942
6.0,28,0.04667610787948279,300.0,0.04608746820317316,0.3761422958559475
7.0,23,0.035898200320025775,278.0,0.15545041201819182,0.5547655140658942
8.0,27,0.03172154977377162,293.0,0.05403428141531547,0.3934332747960393
9.0,24,0.07728639480653066,232.0,0.019517552871884992,0.2260414509760459
10.0,24,0.0471206511032925,273.0,0.09156055348627512,0.5361603480653012
11.0,27,0.042376305826068,281.0,0.035638948721547194,0.3479149485444708
12.0,27,0.04820803820891928,322.0,0.12894051945891416,0.5547655140658942
13.0,23,0.028452502902247545,271.0,0.1266639689868036,0.5547655140658942
14.0,25,0.019941834239663447,305.0,0.161376784727983,0.5547655140658942
