week,n,Faith PD difference from week 1,test-statistic,p-value,q-value
2.0,29,-0.20955860502009926,420.5,0.496896611801727,0.9163227626661428
3.0,30,-1.6097442988189505,355.0,0.11402911247113418,0.6203742947606861
4.0,30,-0.18407430574655018,429.0,0.4667704078301548,0.9163227626661428
5.0,30,-2.3792524703860014,326.0,0.049977404205687796,0.43105107172003765
6.0,28,1.055345250959948,363.0,0.2487582117167519,0.8649613260021795
7.0,23,-2.458454293350094,222.0,0.020422917583170528,0.21933736522832725
8.0,27,-0.4556273950898984,381.0,0.4348762036919002,0.9163227626661428
9.0,24,-2.700949645735049,205.0,0.005444089386324412,0.06850691436228751
10.0,24,-1.899529335725051,269.0,0.08035605745643976,0.529480711675844
11.0,27,-2.7998826253400964,299.0,0.06570671796386765,0.4932050706445673
12.0,27,0.003881120240004421,381.0,0.4348762036919002,0.9163227626661428
13.0,23,-0.12342059139000305,318.0,0.39113435950416353,0.9163227626661428
14.0,25,-0.18984387582009887,325.0,0.26048123431415204,0.8649613260021795
