week,n,weighted UniFrac PCoA 2,test-statistic,p-value,q-value
2.0,29,0.04667284954176569,420.5,0.496896611801727,0.7066373205401306
3.0,30,0.0844685918623932,363.0,0.1391646199858237,0.6949222206057961
4.0,30,0.06363682364140628,361.0,0.1325529274463934,0.6949222206057961
5.0,30,0.03227511781988597,403.0,0.3164668363318518,0.7066373205401306
6.0,28,0.07100363385449623,333.0,0.1235799866059536,0.6949222206057961
7.0,23,0.050908073019834195,295.0,0.24192573849183602,0.7066373205401306
8.0,27,0.10936834489342832,291.0,0.050530670298764124,0.4346852133956304
9.0,24,0.049945491226181915,285.0,0.13204336921443527,0.6949222206057961
10.0,24,0.06430498728611386,313.0,0.2687939289640139,0.7066373205401306
11.0,27,0.1192021380864884,258.0,0.014597598384993124,0.17400577069810907
12.0,27,0.10920347300531133,278.0,0.031948720780880596,0.32270111872499496
13.0,23,0.08678106857382747,249.0,0.06085487901712796,0.4662632999969858
14.0,25,0.00040365034890660535,317.0,0.2175060782375891,0.7066373205401306
