week,n,Bray-Curtis distance to week 1,test-statistic,p-value,q-value
2.0,9,0.5434,40.5,0.4823096976815231,0.9301008633263553
3.0,9,0.43200000000000005,27.0,0.12549913522146128,0.7712491712875023
5.0,15,0.4464,60.0,0.33819316300045466,0.9301008633263553
6.0,14,0.48540000000000005,62.0,0.4874365765888691,0.9301008633263553
7.0,4,0.496,17.0,0.46925144238923566,0.9301008633263553
8.0,7,0.40399999999999997,31.0,0.5,0.9301008633263553
9.0,8,0.6199,29.0,0.2658336808688818,0.9301008633263553
10.0,10,0.477,38.0,0.2978054497378648,0.9301008633263553
11.0,2,0.3915,4.0,0.14442218317324246,0.7898181754047446
12.0,15,0.562,56.0,0.25593996366852434,0.9301008633263553
14.0,15,0.5122,59.0,0.3166711503495331,0.9301008633263553
