week,n,weighted UniFrac distance to week 1,test-statistic,p-value,q-value
2.0,9,0.358527318484076,40.5,0.4823096976815231,0.9447201127749009
3.0,9,0.2427898490485429,28.0,0.14465741619099387,0.8201730933761269
5.0,15,0.31928537224685505,62.0,0.382797241997882,0.9447201127749009
6.0,14,0.38965751211340693,59.0,0.41274895535231604,0.9447201127749009
7.0,4,0.31960847431404077,14.0,0.2945772327250291,0.9130746784600776
8.0,7,0.21544273088161128,22.0,0.17038092385704645,0.8201730933761269
9.0,8,0.3826490953429823,33.0,0.40494706521423735,0.9447201127749009
10.0,10,0.2849534153051816,33.0,0.17387279945534878,0.8201730933761269
11.0,2,0.5600000726311254,4.0,0.14442218317324246,0.8201730933761269
12.0,15,0.4128066307709322,65.0,0.4525358909893909,0.9447201127749009
14.0,15,0.321530977269025,63.0,0.40574126105543945,0.9447201127749009
