subject-id,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,week min,week max,week count
843eb,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1.0,14.0,9
007b6,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1.0,14.0,8
b64fa,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1.0,14.0,8
f5092,0,1,0,1,1,0,1,1,0,1,1,0,0,1,2.0,14.0,8
a352a,0,1,1,0,1,1,0,0,0,1,1,1,1,0,2.0,13.0,8
e5b0a,2,0,1,0,2,0,1,1,0,0,1,1,0,1,1.0,14.0,8
e1127,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1.0,14.0,8
137b2,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1.0,14.0,8
b6643,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1.0,14.0,8
dca0e,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1.0,14.0,8
9e46f,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1.0,14.0,8
96189,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1.0,14.0,8
5c55c,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1.0,14.0,8
de71c,1,0,1,0,2,1,0,0,0,1,0,1,0,1,1.0,14.0,7
70911,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1.0,14.0,7
fad9f,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1.0,14.0,7
113f1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,2.0,14.0,7
3622f,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2.0,12.0,7
46554,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1.0,14.0,7
e0818,0,2,0,0,1,0,2,0,1,0,1,0,1,1,2.0,14.0,7
3d3e6,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1.0,14.0,7
0fc81,0,1,1,0,1,0,0,0,0,0,0,1,1,1,2.0,14.0,6
b95d5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1.0,9.0,5
81d70,0,0,1,0,0,1,0,0,1,0,0,1,0,1,3.0,14.0,5
f268a,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1.0,9.0,4
